PRO_COM_T,COD_PROV,comune,provincia,regione,popolazione,area_km2,densita_ab_km2
001001,001,"Agli̬","1","1",2584,13.15,196.5
001002,001,"Airasca","1","1",3698,15.74,234.9
001003,001,"Ala di Stura","1","1",468,46.33,10.1
001004,001,"Albiano d'Ivrea","1","1",1633,11.74,139.1
001006,001,"Almese","1","1",6231,17.87,348.7
001007,001,"Alpette","1","1",235,5.63,41.7
001008,001,"Alpignano","1","1",16513,11.92,1385.3
001009,001,"Andezeno","1","1",1979,7.49,264.2
001010,001,"Andrate","1","1",468,9.31,50.3
001011,001,"Angrogna","1","1",794,38.88,20.4
001012,001,"Arignano","1","1",1076,8.17,131.7
001013,001,"Avigliana","1","1",12035,23.22,518.3
001014,001,"Azeglio","1","1",1224,9.95,123
001015,001,"Bairo","1","1",778,7.09,109.7
001016,001,"Balangero","1","1",3095,13.01,237.9
001017,001,"Baldissero Canavese","1","1",493,4.51,109.3
001018,001,"Baldissero Torinese","1","1",3692,15.4,239.7
001019,001,"Balme","1","1",97,62.71,1.5
001020,001,"Banchette","1","1",3097,2.03,1525.6
001021,001,"Barbania","1","1",1563,12.8,122.1
001022,001,"Bardonecchia","1","1",2853,132.2,21.6
001023,001,"Barone Canavese","1","1",525,3.99,131.6
001024,001,"Beinasco","1","1",17272,6.74,2562.6
001025,001,"Bibiana","1","1",3362,18.6,180.8
001026,001,"Bobbio Pellice","1","1",527,94.08,5.6
001027,001,"Bollengo","1","1",2099,14.22,147.6
001028,001,"Borgaro Torinese","1","1",11523,11.11,1037.2
001029,001,"Borgiallo","1","1",587,6.96,84.3
001030,001,"Borgofranco d'Ivrea","1","1",3424,13.42,255.1
001031,001,"Borgomasino","1","1",770,12.37,62.2
001032,001,"Borgone Susa","1","1",2250,4.96,453.6
001033,001,"Bosconero","1","1",3044,10.92,278.8
001034,001,"Brandizzo","1","1",8772,6.39,1372.8
001035,001,"Bricherasio","1","1",4611,22.76,202.6
001036,001,"Brosso","1","1",387,11.14,34.7
001037,001,"Brozolo","1","1",423,8.95,47.3
001038,001,"Bruino","1","1",8364,5.57,1501.6
001039,001,"Brusasco","1","1",1495,14.36,104.1
001040,001,"Bruzolo","1","1",1513,12.56,120.5
001041,001,"Buriasco","1","1",1289,14.69,87.7
001042,001,"Burolo","1","1",1095,5.48,199.8
001043,001,"Busano","1","1",1578,5.06,311.9
001044,001,"Bussoleno","1","1",5766,37.07,155.5
001045,001,"Buttigliera Alta","1","1",6222,8.1,768.1
001046,001,"Cafasse","1","1",3388,10.23,331.2
001047,001,"Caluso","1","1",7338,39.49,185.8
001048,001,"Cambiano","1","1",5884,14.13,416.4
001049,001,"Campiglione Fenile","1","1",1297,11.09,117
001050,001,"Candia Canavese","1","1",1143,9.13,125.2
001051,001,"Candiolo","1","1",5563,11.85,469.5
001052,001,"Canischio","1","1",269,11.95,22.5
001053,001,"Cantalupa","1","1",2581,11.2,230.4
001054,001,"Cantoira","1","1",645,23.03,28
001055,001,"Caprie","1","1",2014,16.41,122.7
001056,001,"Caravino","1","1",891,11.54,77.2
001057,001,"Carema","1","1",697,10.26,67.9
001058,001,"Carignano","1","1",9250,50.68,182.5
001059,001,"Carmagnola","1","1",27971,95.72,292.2
001060,001,"Casalborgone","1","1",1865,20.12,92.7
001061,001,"Cascinette d'Ivrea","1","1",1503,2.17,692.6
001062,001,"Caselette","1","1",3024,14.31,211.3
001063,001,"Caselle Torinese","1","1",13738,23.55,583.4
001064,001,"Castagneto Po","1","1",1748,11.52,151.7
001065,001,"Castagnole Piemonte","1","1",2168,17.28,125.5
001066,001,"Castellamonte","1","1",9839,38.71,254.2
001067,001,"Castelnuovo Nigra","1","1",417,28.38,14.7
001068,001,"Castiglione Torinese","1","1",6519,14.13,461.4
001069,001,"Cavagnolo","1","1",2357,12.33,191.2
001070,001,"Cavour","1","1",5373,48.96,109.7
001071,001,"Cercenasco","1","1",1760,13.16,133.7
001072,001,"Ceres","1","1",957,28.05,34.1
001073,001,"Ceresole Reale","1","1",139,99.82,1.4
001074,001,"Cesana Torinese","1","1",887,121.7,7.3
001075,001,"Chialamberto","1","1",336,35.45,9.5
001076,001,"Chianocco","1","1",1494,18.61,80.3
001077,001,"Chiaverano","1","1",1958,12.02,162.9
001078,001,"Chieri","1","1",35822,54.2,660.9
001079,001,"Chiesanuova","1","1",229,4.12,55.6
001080,001,"Chiomonte","1","1",838,26.75,31.3
001081,001,"Chiusa di San Michele","1","1",1524,5.92,257.4
001082,001,"Chivasso","1","1",26038,51.2,508.6
001083,001,"Ciconio","1","1",358,3.16,113.3
001084,001,"Cintano","1","1",225,4.93,45.6
001085,001,"Cinzano","1","1",340,6.2,54.8
