codice_comune,pop_0_14,pop_15_64,pop_65_plus,pop_male,pop_female
058001,144,829,430,698,705
058002,193,1043,443,816,863
058003,4631,25640,9435,19147,20559
058004,409,2312,1051,1869,1903
058005,2254,12390,4393,9301,9736
058006,84,527,230,414,427
058007,7299,39210,13554,30223,29840
058008,104,762,379,643,602
058009,1961,11395,4582,8674,9264
058010,118,807,422,634,713
058011,1742,8953,2981,6775,6901
058012,244,1592,742,1258,1320
058013,2030,11951,4368,8848,9501
058014,21,253,129,217,186
058015,1360,7189,2438,5332,5655
058016,466,2603,1095,2024,2140
058017,17,213,113,186,157
058018,1550,7484,2037,5609,5462
058019,21,204,85,171,139
058020,395,2277,1239,1909,2002
058021,49,388,173,297,313
058022,915,5614,2007,4023,4513
058023,844,4432,1746,3481,3541
058024,1023,5625,1962,4268,4342
058025,80,565,193,410,428
058026,1408,7089,2438,5469,5466
058027,123,675,277,523,552
058028,38,277,138,248,205
058029,4259,24941,9006,18834,19372
058030,114,811,323,624,624
058031,41,368,170,284,295
058032,5737,32753,12869,24745,26614
058033,234,1354,458,1025,1021
058034,2184,12865,5332,9865,10516
058035,524,2778,924,2040,2186
058036,2408,11419,3066,8632,8261
058037,45,298,138,231,250
058038,1818,9143,2964,6707,7218
058039,2833,14557,5558,10938,12010
058040,827,4413,1338,3350,3228
058041,187,1185,482,932,922
058042,630,3652,1455,2852,2885
058043,2475,13953,5901,10804,11525
058044,103,697,310,563,547
058045,73,369,207,333,316
058046,2313,12713,5319,9558,10787
058047,11742,59592,18086,44358,45062
058048,14,175,135,168,156
058049,870,4360,1179,3180,3229
058050,1572,8426,2899,6465,6432
058051,102,627,259,556,432
058052,146,895,338,719,660
058053,95,594,242,474,457
058054,847,4867,2124,3789,4049
058055,92,437,228,375,382
058056,990,4730,1440,3604,3556
058057,6281,30616,9770,22606,24061
058058,328,1837,770,1450,1485
058059,2935,15097,4583,11118,11497
058060,1472,7679,2482,5723,5910
058061,89,690,371,547,603
058062,230,1255,518,996,1007
058063,611,3200,1287,2463,2635
058064,1029,5255,2313,4166,4431
058065,5160,27494,8531,19995,21190
058066,224,1231,453,963,945
058067,245,1493,635,1196,1177
058068,970,5516,2067,4135,4418
058069,137,813,348,649,649
058070,182,1178,494,915,939
058071,201,1298,462,968,993
058072,5281,31141,11689,23804,24307
058073,630,4071,1591,3152,3140
058074,2798,14374,4938,10859,11251
058075,1612,8603,2942,6558,6599
058076,8,136,69,110,103
058077,71,434,206,373,338
058078,270,1413,550,1109,1124
058079,8027,43721,13222,32556,32414
058080,166,823,276,661,604
058081,1343,6977,2174,5249,5245
058082,1247,6691,2232,4983,5187
058083,78,446,226,366,384
058084,12,91,67,94,76
058085,43,217,104,181,183
058086,2169,12109,3711,9426,8563
058087,20,125,101,126,120
058088,1440,7960,2730,6030,6100
058089,83,571,252,471,435
058090,61,367,211,303,336
058091,315869,1758400,670793,1307339,1437723
058092,113,749,370,585,647
058093,768,4925,1819,3678,3834
058094,85,521,227,419,414
058095,151,843,391,707,678
058096,310,1776,718,1439,1365
058097,1800,11551,5094,8940,9505
058098,612,3442,1012,2535,2531
058099,384,2117,897,1707,1691
058100,324,1910,778,1573,1439
058101,16,112,49,99,78
058102,992,5613,2356,4429,4532
058103,845,5239,2443,4234,4293
058104,6500,36003,12818,27396,27925
058105,474,2913,1304,2378,2313
058106,127,695,294,567,549
058107,563,3495,1697,2782,2973
058108,6,126,91,100,123
058109,12,152,96,129,131
058110,2048,10330,3276,7743,7911
058111,6387,33940,12721,26039,27009
058112,398,2215,907,1725,1795
058113,5,95,50,85,65
058114,2518,12711,3734,9638,9325
058115,1719,8641,2937,6537,6760
058116,4552,27689,8727,19997,20971
058117,6017,34758,10599,26079,25295
058118,4597,25181,9135,18677,20236
058119,2317,10928,3138,8200,8183
058120,10931,56310,16174,41823,41592
058122,4521,21790,6476,16142,16645
059001,9771,49499,15427,37139,37558
059002,151,859,422,721,711
059003,50,316,179,285,260
059004,492,2388,1130,1963,2047
059005,4603,23612,8040,18016,18239
059006,1132,6746,2587,5293,5172
059007,5371,26316,8623,20166,20144
059008,4041,23010,9724,17725,19050
059009,1751,11351,5806,9189,9719
059010,1233,6635,2711,5400,5179
059011,14856,82812,29782,62690,64760
059012,447,2507,1141,2069,2026
059013,357,1872,727,1466,1490
059014,2388,12894,5118,10118,10282
059015,736,3755,1537,3097,2931
059016,419,2336,968,1816,1907
059017,2169,9608,3307,7529,7555
059018,348,2028,919,1723,1572
059019,1670,8590,3434,6806,6888
059020,139,650,323,569,543
059021,438,2594,1055,2033,2054
059022,126,723,278,583,544
059023,115,669,276,541,519
059024,2254,12492,4580,9812,9514
059025,1076,6461,2552,5268,4821
059026,869,4337,1672,3390,3488
059027,1472,6542,1937,5025,4926
059028,2842,15669,5255,12114,11652
059029,1011,4699,1755,3715,3750
059030,287,1759,944,1488,1502
059031,336,1760,749,1362,1483
059032,4953,28909,11193,22854,22201
059033,53,446,179,381,297
060001,16,150,87,137,116
060002,190,1083,506,888,891
060003,3285,17603,6548,13441,13995
060004,218,1456,760,1194,1240
060005,486,2546,997,2012,2017
060006,2414,13061,5155,10132,10498
060007,561,3022,1315,2429,2469
060008,573,3229,1574,2685,2691
060009,219,1279,638,1037,1099
060010,603,3877,2032,3188,3324
060011,446,2494,1139,1961,2118
060012,295,1503,607,1194,1211
060013,59,387,211,333,324
060014,1028,5058,2128,4084,4130
060015,270,1678,661,1281,1328
060016,182,972,442,778,818
060017,40,311,164,250,265
