codice_comune,COD_PROV,anno,popolazione
001217,001,2026,12303
001218,001,2025,1543
001218,001,2026,1550
001219,001,2025,46560
001219,001,2026,46551
001220,001,2025,3077
001220,001,2026,3056
001221,001,2025,1717
001221,001,2026,1727
001222,001,2025,1974
001222,001,2026,1965
001223,001,2025,2702
001223,001,2026,2711
001224,001,2025,383
001224,001,2026,383
001225,001,2025,1921
001225,001,2026,1927
001226,001,2025,221
001226,001,2026,216
001227,001,2025,752
001227,001,2026,740
001228,001,2025,5100
001228,001,2026,5074
001229,001,2025,2516
001229,001,2026,2591
001230,001,2025,788
001230,001,2026,788
001231,001,2025,1845
001231,001,2026,1850
001232,001,2025,627
001232,001,2026,635
001233,001,2025,462
001233,001,2026,471
001234,001,2025,61
001234,001,2026,65
001235,001,2025,1519
001235,001,2026,1538
001236,001,2025,6079
001236,001,2026,6050
001237,001,2025,4036
001237,001,2026,4029
001238,001,2025,358
001238,001,2026,359
001239,001,2025,497
001239,001,2026,493
001240,001,2025,4808
001240,001,2026,4805
001241,001,2025,3676
001241,001,2026,3624
001242,001,2025,1709
001242,001,2026,1689
001243,001,2025,3264
001243,001,2026,3311
001244,001,2025,2505
001244,001,2026,2484
001245,001,2025,958
001245,001,2026,951
001246,001,2025,3270
001246,001,2026,3309
001247,001,2025,822
001247,001,2026,798
001248,001,2025,10275
001248,001,2026,10252
001249,001,2025,18411
001249,001,2026,18267
001250,001,2025,1447
001250,001,2026,1437
001251,001,2025,234
001251,001,2026,230
001252,001,2025,3159
001252,001,2026,3128
001253,001,2025,1883
001253,001,2026,1853
001254,001,2025,3630
001254,001,2026,3638
001255,001,2025,4518
001255,001,2026,4501
001256,001,2025,4074
001256,001,2026,4073
001257,001,2025,10480
001257,001,2026,10373
001258,001,2025,226
001258,001,2026,227
001259,001,2025,1004
001259,001,2026,1018
001260,001,2025,3195
001260,001,2026,3199
001261,001,2025,796
001261,001,2026,785
001262,001,2025,1432
001262,001,2026,1424
001263,001,2025,907
001263,001,2026,893
001264,001,2025,457
001264,001,2026,469
001265,001,2025,45586
001265,001,2026,45566
001266,001,2025,1521
001266,001,2026,1507
001267,001,2025,907
001267,001,2026,903
001268,001,2025,240
001268,001,2026,236
001269,001,2025,6054
001269,001,2026,6018
001270,001,2025,5840
001270,001,2026,5776
001271,001,2025,736
001271,001,2026,747
001272,001,2025,853196
001272,001,2026,855654
001273,001,2025,3011
001273,001,2026,2997
001274,001,2025,603
001274,001,2026,597
001275,001,2025,4584
001275,001,2026,4585
001276,001,2025,3755
001276,001,2026,3744
001278,001,2025,310
001278,001,2026,309
001279,001,2025,493
001279,001,2026,505
001280,001,2025,10497
001280,001,2026,10501
001281,001,2025,174
001281,001,2026,177
001282,001,2025,191
001282,001,2026,179
001283,001,2025,1347
001283,001,2026,1317
001284,001,2025,3978
001284,001,2026,3973
001285,001,2025,983
001285,001,2026,983
001286,001,2025,785
001286,001,2026,784
001287,001,2025,2978
001287,001,2026,2977
001288,001,2025,86
001288,001,2026,88
001289,001,2025,844
001289,001,2026,828
001290,001,2025,1427
001290,001,2026,1417
001291,001,2025,852
001291,001,2026,843
001292,001,2025,32035
001292,001,2026,31886
001293,001,2025,4777
001293,001,2026,4788
001294,001,2025,1326
001294,001,2026,1353
001295,001,2025,754
001295,001,2026,752
001296,001,2025,253
001296,001,2026,258
001298,001,2025,454
001298,001,2026,450
001299,001,2025,5055
001299,001,2026,5046
001300,001,2025,4591
001300,001,2026,4585
001301,001,2025,1207
001301,001,2026,1199
001302,001,2025,3504
001302,001,2026,3521
001303,001,2025,2784
001303,001,2026,2793
001304,001,2025,990
001304,001,2026,994
001305,001,2025,1936
001305,001,2026,1943
001306,001,2025,1055
001306,001,2026,1052
001307,001,2025,3902
001307,001,2026,3892
001308,001,2025,4310
001308,001,2026,4286
001309,001,2025,15334
001309,001,2026,15290
001310,001,2025,1180
001310,001,2026,1188
001311,001,2025,1195
001311,001,2026,1206
001312,001,2025,524
001312,001,2026,526
001313,001,2025,1100
001313,001,2026,1075
001314,001,2025,15011
001314,001,2026,15060
001315,001,2025,8420
001315,001,2026,8417
001316,001,2025,7270
001316,001,2026,7280
001317,001,2025,1223
001317,001,2026,1225
001318,001,2025,1026
001318,001,2026,1012
002002,002,2025,725
002002,002,2026,731
002003,002,2025,310
002003,002,2026,327
002004,002,2025,2491
002004,002,2026,2479
002006,002,2025,850
002006,002,2026,836
002007,002,2025,1382
002007,002,2026,1387
002008,002,2025,113
002008,002,2026,115
002009,002,2025,211
002009,002,2026,210
002011,002,2025,1870
002011,002,2026,1869
002014,002,2025,173
002014,002,2026,167
002015,002,2025,2188
002015,002,2026,2198
002016,002,2025,12031
002016,002,2026,11951
002017,002,2025,2207
002017,002,2026,2231
002021,002,2025,870
002021,002,2026,862
002025,002,2025,231
002025,002,2026,226
002029,002,2025,72
002029,002,2026,78
002030,002,2025,995
002030,002,2026,995
002031,002,2025,1108
002031,002,2026,1110
002032,002,2025,762
002032,002,2026,744
002033,002,2025,223
002033,002,2026,220
002035,002,2025,257
002035,002,2026,263
002041,002,2025,47
002041,002,2026,47
002042,002,2025,4256
002042,002,2026,4300
002043,002,2025,222
002043,002,2026,223
002045,002,2025,72
002045,002,2026,68
002047,002,2025,778
002047,002,2026,815
002048,002,2025,246
002048,002,2026,240
002049,002,2025,7544
002049,002,2026,7503
002052,002,2025,357
002052,002,2026,347
002054,002,2025,1100
002054,002,2026,1097
002057,002,2025,185
002057,002,2026,185
002058,002,2025,1052
002058,002,2026,1036
002059,002,2025,491
002059,002,2026,488
002061,002,2025,7507
002061,002,2026,7548
002062,002,2025,794
002062,002,2026,820
002065,002,2025,321
002065,002,2026,330
002066,002,2025,311
002066,002,2026,296
002067,002,2025,481
002067,002,2026,468
002068,002,2025,770
002068,002,2026,759
002070,002,2025,543
002070,002,2026,551
002071,002,2025,4270
002071,002,2026,4248
002072,002,2025,764
002072,002,2026,753
002078,002,2025,101
002078,002,2026,100
002079,002,2025,1369
002079,002,2026,1360
002082,002,2025,712
002082,002,2026,702
002088,002,2025,772
002088,002,2026,774
002089,002,2025,232
002089,002,2026,236
002090,002,2025,1088
002090,002,2026,1088
002091,002,2025,332
002091,002,2026,331
002093,002,2025,1282
002093,002,2026,1289
002096,002,2025,132
002096,002,2026,142
002097,002,2025,187
002097,002,2026,193
002102,002,2025,533
002102,002,2026,521
002104,002,2025,724
002104,002,2026,720
002107,002,2025,3719
002107,002,2026,3715
002108,002,2025,386
002108,002,2026,381
002110,002,2025,68
002110,002,2026,66
002113,002,2025,141
002113,002,2026,139
002115,002,2025,439
002115,002,2026,427
002116,002,2025,2192
002116,002,2026,2142
002118,002,2025,572
002118,002,2026,560
002121,002,2025,170
002121,002,2026,167
002122,002,2025,894
002122,002,2026,885
002126,002,2025,201
002126,002,2026,194
002127,002,2025,93
002127,002,2026,88
002128,002,2025,3779
002128,002,2026,3752
002131,002,2025,1596
002131,002,2026,1615
002133,002,2025,8023
002133,002,2026,8024
002134,002,2025,379
002134,002,2026,381
002135,002,2025,381
002135,002,2026,388
002137,002,2025,4702
002137,002,2026,4636
002142,002,2025,1177
002142,002,2026,1199
002147,002,2025,659
002147,002,2026,661
002148,002,2025,6688
002148,002,2026,6760
002150,002,2025,3255
002150,002,2026,3271
002152,002,2025,1832
002152,002,2026,1785
002156,002,2025,6844
002156,002,2026,6832
002158,002,2025,45951
002158,002,2026,46391
002163,002,2025,371
002163,002,2026,366
002164,002,2025,1527
002164,002,2026,1518
002166,002,2025,159
002166,002,2026,156
002170,002,2025,134
002170,002,2026,133
002171,002,2025,934
002171,002,2026,957
003001,003,2025,1584
003001,003,2026,1579
003002,003,2025,874
003002,003,2026,866
003006,003,2025,2085
003006,003,2026,2089
003008,003,2025,13655
003008,003,2026,13632
003012,003,2025,727
003012,003,2026,734
003016,003,2025,9376
003016,003,2026,9344
003018,003,2025,1352
003018,003,2026,1384
003019,003,2025,1157
003019,003,2026,1145
003021,003,2025,1303
003021,003,2026,1324
003022,003,2025,1128
003022,003,2026,1110
003023,003,2025,2035
003023,003,2026,2025
003024,003,2025,21208
003024,003,2026,21202
003025,003,2025,5123
003025,003,2026,5145
003026,003,2025,2745
003026,003,2026,2730
003027,003,2025,1115
003027,003,2026,1129
003030,003,2025,2493
003030,003,2026,2453
003032,003,2025,10811
003032,003,2026,10867
003036,003,2025,2460
003036,003,2026,2457
003037,003,2025,1041
003037,003,2026,1047
003039,003,2025,904
003039,003,2026,917
003040,003,2025,1539
003040,003,2026,1586
003041,003,2025,880
003041,003,2026,888
003042,003,2025,344
003042,003,2026,331
003043,003,2025,9852
003043,003,2026,9834
003044,003,2025,393
003044,003,2026,387
003045,003,2025,1150
003045,003,2026,1143
003047,003,2025,1291
003047,003,2026,1290
003049,003,2025,6854
003049,003,2026,6995
003051,003,2025,546
003051,003,2026,553
003052,003,2025,1265
003052,003,2026,1264
003055,003,2025,1558
003055,003,2026,1559
003058,003,2025,2584
003058,003,2026,2619
003060,003,2025,1434
003060,003,2026,1428
003062,003,2025,2532
003062,003,2026,2556
003065,003,2025,2003
003065,003,2026,2009
003066,003,2025,2614
003066,003,2026,2656
003068,003,2025,15700
003068,003,2026,15884
003069,003,2025,1406
003069,003,2026,1397
003070,003,2025,1755
003070,003,2026,1751
003073,003,2025,3423
003073,003,2026,3429
003076,003,2025,5499
003076,003,2026,5464
003077,003,2025,1317
003077,003,2026,1302
003079,003,2025,4297
003079,003,2026,4299
003082,003,2025,4283
003082,003,2026,4290
003083,003,2025,531
003083,003,2026,518
003084,003,2025,2179
003084,003,2026,2203
003088,003,2025,1648
003088,003,2026,1627
003090,003,2025,206
003090,003,2026,213
003091,003,2025,1605
003091,003,2026,1623
003093,003,2025,1109
003093,003,2026,1127
003095,003,2025,2340
003095,003,2026,2340
003097,003,2025,1214
003097,003,2026,1220
003098,003,2025,810
003098,003,2026,805
003100,003,2025,2402
003100,003,2026,2405
003103,003,2025,1835
003103,003,2026,1859
003104,003,2025,831
003104,003,2026,833
003106,003,2025,102231
003106,003,2026,103238
003108,003,2025,14241
003108,003,2026,14270
003109,003,2025,2223
003109,003,2026,2225
003112,003,2025,1102
003112,003,2026,1086
003114,003,2025,2161
003114,003,2026,2121
003115,003,2025,876
003115,003,2026,874
003116,003,2025,1308
003116,003,2026,1296
003119,003,2025,791
003119,003,2026,794
003120,003,2025,1353
003120,003,2026,1365
003121,003,2025,2117
003121,003,2026,2119
003122,003,2025,1835
003122,003,2026,1829
003129,003,2025,1007
003129,003,2026,1029
003130,003,2025,3722
003130,003,2026,3759
003131,003,2025,5611
003131,003,2026,5658
003133,003,2025,2999
003133,003,2026,2931
003134,003,2025,694
003134,003,2026,701
003135,003,2025,1991
003135,003,2026,1960
